"keys";"?plural";"?context";"pt_BR"
"BACKPACK_WEARABLES";"";"";"Wearables"
"CALENDAR_EVENT_LOCATION";"";"";"Decentraland em %d,%d"
"CALENDAR_TIME_RANGE";"";"";"{start} até {end} {tz}"
"CHANGE_NICK_POPUP_A_NAME_COMES_WITH_A_WORLD";"";"";"Um NAME vem com um World onde você pode construir e realizar eventos, e ainda dá Poder de Voto na DAO!"
"CHANGE_NICK_POPUP_CLAIM_A_UNIQUE_NAME_FOR_THE";"";"";"Garanta um NAME exclusivo para viver a experiência completa da Decentraland!"
"CHANGE_NICK_POPUP_CLAIM_NAME";"";"";"GARANTIR NAME"
"CHANGE_NICK_POPUP_EDIT_USERNAME";"";"";"Editar nome de usuário"
"CHANGE_NICK_POPUP_SAVE";"";"";"SALVAR"
"CHANGE_NICK_POPUP_USERNAME";"";"";"Nome de usuário"
"CHATBAR_YOU_CAN_SWITCH_VERTICAL_CHAT_MODE";"";"";"Você pode mudar para o modo de chat vertical"
"CHAT_HEADER_NEARBY";"";"";"Por perto"
"CHAT_SEND";"";"";"ENVIAR"
"CHAT_SYSTEM_CHANGING_REALM";"";"";"[color=#ccc]Tentando mudar para o realm %s[/color]"
"CHAT_SYSTEM_CHANGING_WORLD";"";"";"[color=#ccc]Tentando mudar para o world %s[/color]"
"CHAT_SYSTEM_NO_CAMERA";"";"";"[color=#ccc]🔴 Nenhuma câmera ativa[/color]"
"CHAT_SYSTEM_SENDER";"";"";"Sistema"
"CHAT_SYSTEM_TELEPORTED";"";"";"[color=#ccc]🟢 Você foi teletransportado para %s[/color]"
"CHAT_SYSTEM_UNKNOWN_COMMAND";"";"";"[color=#ccc]🔴 Comando desconhecido[/color]"
"CHAT_SYSTEM_WELCOME";"";"";"[color=#cfc][b]Boas-vindas à Decentraland! Respeite os outros e divirta-se.[/b][/color]"
"CHAT_WRITE_A_MESSAGE";"";"";"Escreva uma mensagem"
"CHAT_WRITE_A_MESSAGE_ELLIPSIS";"";"";"Escreva uma mensagem..."
"CODE_MODAL_ENTER_VERIFICATION_CODE";"";"";"Digite o código de verificação"
"CODE_MODAL_OTP_SENT_TO";"";"";"Enviamos uma senha de uso único para [b]%s[/b]. Digite o código abaixo para concluir a verificação."
"CODE_MODAL_RESEND_LINK_ACTIVE";"";"";"[u][color=#A0ABFF]Reenviar e-mail[/color][/u]"
"CODE_MODAL_RESEND_LINK_DIMMED";"";"";"[u][color=#A0ABFFB3]Reenviar e-mail (%d:%02d)[/color][/u]"
"CODE_MODAL_RESEND_PREFIX";"";"";"Não recebeu o e-mail? "
"CODE_MODAL_RESEND_PROMPT";"";"";"Não recebeu o e-mail? [u][color=A0ABFF]Reenviar e-mail"
"CODE_MODAL_SENT_TO";"";"";"Enviamos uma senha de uso único para [b]seu@email.com[/b]. Digite o código abaixo para concluir a verificação."
"CODE_MODAL_THE_CODE_IS_INVALID_OR_EXPIRED";"";"";"O código é inválido ou expirou. Reenvie o código."
"CODE_MODAL_VERIFYING";"";"";"Verificando..."
"COLOR_CARROUSEL_HAIR_COLOR";"";"";"Cor do cabelo"
"COLOR_PICKER_PRESETS";"";"";"PREDEFINIÇÕES
"
"COMMON_ADD_EMAIL";"";"";"ADICIONAR E-MAIL"
"COMMON_BLOCKED";"";"";"BLOQUEADO"
"COMMON_BY";"";"";"por"
"COMMON_CANCEL";"";"";"CANCELAR"
"COMMON_DESCRIPTION";"";"";"DESCRIÇÃO"
"COMMON_DONE";"";"";"PRONTO"
"COMMON_EDIT";"";"";"EDITAR"
"COMMON_EMAIL_ALREADY_LINKED";"";"";"Este e-mail já está vinculado a outra conta."
"COMMON_EMPTY_PARCEL";"";"";"Parcel vazio"
"COMMON_JUMP_IN";"";"";"ENTRAR"
"COMMON_NEARBY";"";"";"POR PERTO"
"COMMON_NEXT";"";"";"AVANÇAR"
"COMMON_NOT_NOW";"";"";"AGORA NÃO"
"COMMON_OR";"";"";"ou"
"COMMON_SOMEONE";"";"";"Alguém"
"COMMON_SOMETHING_WENT_WRONG";"";"";"Ops! Algo deu errado"
"COMMON_SOMETHING_WENT_WRONG_RETRY";"";"";"Algo deu errado. Tente novamente."
"COMMON_TAP_TO_CONTINUE";"";"";"Toque para continuar"
"COMMON_TOO_MANY_ATTEMPTS";"";"";"Muitas tentativas. Aguarde um momento e tente novamente."
"COMMON_TRY_AGAIN";"";"";"TENTAR NOVAMENTE"
"COMMON_UNKNOWN_PLACE";"";"";"Lugar desconhecido"
"COMMON_UNKNOWN_USER";"";"";"Desconhecido"
"COMMON_UNLOCK_THE_FULL_EXPERIENCE";"";"";"Desbloqueie a experiência completa"
"COMMON_UPDATE";"";"";"ATUALIZAR"
"CREDITS_AMOUNT_DEDUCTED";"";"";"-%d"
"CREDITS_BALANCE_CARD_MY_CREDITS";"";"";"Meus Créditos"
"CREDITS_CREDITS";"";"";"Créditos"
"CREDITS_HISTORY_ITEM_REFUND_DEDUCTION";"";"";"Desconto por reembolso"
"CREDITS_HISTORY_PURCHASE_HISTORY";"";"";"histórico de compras"
"CREDITS_PURCHASED";"CREDITS_PURCHASED_PLURAL";"";"Você comprou %d CRÉDITO"
"";"";"";"Você comprou %d CRÉDITOS"
"CREDITS_PURCHASES";"";"";"Compras"
"CREDITS_QUANTITY";"";"";"Créditos x%d"
"CREDITS_SHOP_CREDITS_ARE_A_LIMITED_DIGITAL_IN";"";"";"Os Créditos são um recurso digital limitado dentro do app, comprado com dinheiro real pela Apple. Você pode usá-los para adquirir conteúdo digital, como Wearables e Emotes, no app de iOS."
"CREDITS_SHOP_CREDITS_DO_NOT_EXPIRE_HOWEVER_THE";"";"";"Os Créditos não expiram. No entanto, a Foundation pode definir datas de expiração ou descontinuá-los no futuro, avisando com pelo menos 30 dias de antecedência."
"CREDITS_SHOP_DO_CREDITS_EXPIRE";"";"";"Os Créditos expiram?"
"CREDITS_SHOP_FAQ";"";"";"PERGUNTAS FREQUENTES"
"CREDITS_SHOP_LICENCE";"";"";"Concordo que estou comprando uma licença limitada de uso de Créditos regida pelos [color=#E8B9FF][url=""https://decentraland.org/credits-terms""]Termos dos Créditos[/url][/color]. Ao comprar Créditos, você concorda com os [color=#E8B9FF][url=""https://decentraland.org/terms""]Termos de Uso[/url][/color] e a [color=#E8B9FF][url=""https://decentraland.org/privacy""]Política de Privacidade[/url][/color] da Decentraland."
"CREDITS_SHOP_WHAT_ARE_CREDITS";"";"";"O que são os Créditos?"
"CUSTOM_BUTTON_SIGN_OUT";"";"";"SAIR"
"CUSTOM_SLIDER_ERROR";"";"";"Erro"
"DATE_AM";"";"";"am"
"DATE_MONTH_APR";"";"";"abr"
"DATE_MONTH_AUG";"";"";"ago"
"DATE_MONTH_DEC";"";"";"dez"
"DATE_MONTH_FEB";"";"";"fev"
"DATE_MONTH_JAN";"";"";"jan"
"DATE_MONTH_JUL";"";"";"jul"
"DATE_MONTH_JUN";"";"";"jun"
"DATE_MONTH_MAR";"";"";"mar"
"DATE_MONTH_MAY";"";"";"mai"
"DATE_MONTH_NOV";"";"";"nov"
"DATE_MONTH_OCT";"";"";"out"
"DATE_MONTH_SEP";"";"";"set"
"DATE_PM";"";"";"pm"
"DATE_SHORT_FORMAT";"";"";"{weekday}, {day} de {month}."
"DATE_WEEKDAY_FRI";"";"";"sex"
"DATE_WEEKDAY_MON";"";"";"seg"
"DATE_WEEKDAY_SAT";"";"";"sáb"
"DATE_WEEKDAY_SUN";"";"";"dom"
"DATE_WEEKDAY_THU";"";"";"qui"
"DATE_WEEKDAY_TUE";"";"";"ter"
"DATE_WEEKDAY_WED";"";"";"qua"
"DIALOGS_CANCEL";"";"";"Cancelar"
"DIALOGS_DESCRIPTION";"";"";"DESCRIÇÃO"
"DIALOGS_LOADING_NFT";"";"";"Carregando NFT..."
"DIALOGS_NO";"";"";"Não"
"DIALOGS_OWNER";"";"";"PROPRIETÁRIO"
"DIALOGS_VIEW_ON_OPENSEA";"";"";"VER NO OPENSEA"
"DIALOGS_YES";"";"";"Sim"
"DIALOG_STACK_TABS";"";"";"Abas: %d"
"DISCOVER_CLEAN_ALL";"";"";"Limpar tudo"
"DISCOVER_DISCOVER";"";"";"Descobrir"
"DISCOVER_DOWNLOADS_UP_TO_1GB_OF_DATA";"";"";"Baixa até 1 GB de dados"
"DISCOVER_EVENTS";"";"";"Eventos"
"DISCOVER_EXPLORE_MORE";"";"";"Explorar mais"
"DISCOVER_FAVORITES";"";"";"Favoritos"
"DISCOVER_FEATURED";"";"";"Destaques"
"DISCOVER_FRIENDS";"";"";"Amigos"
"DISCOVER_IT_SEEMS_THERE_IS_NOTHING_TO";"";"";"Parece que não há nada para mostrar aqui..."
"DISCOVER_LAST_VISITED";"";"";"Visitados recentemente"
"DISCOVER_LIVE";"";"";"AO VIVO"
"DISCOVER_MOST_ACTIVES";"";"";"Mais ativos"
"DISCOVER_MY_PLACES";"";"";"Meus lugares"
"DISCOVER_NO_RESULT_FOUND";"";"";"Nenhum resultado"
"DISCOVER_POINT_OF_INTEREST";"";"";"ponto de interesse"
"DISCOVER_RECENT_SEARCHES";"";"";"Buscas recentes"
"DISCOVER_SCENES";"";"";"Scenes"
"DISCOVER_SEARCHING";"";"";"Buscando!"
"DISCOVER_SOMETHING_WENT_WRONG";"";"";"Algo deu
errado"
"DISCOVER_THERE_WAS_AN_ERROR_AND_PLACES";"";"";"Ocorreu um erro e não foi possível carregar os lugares."
"DISCOVER_TRENDING";"";"";"Em alta"
"DISCOVER_TRY_SEARCHING_WITH_DIFFERENT_KEYWORDS";"";"";"Tente buscar com
outras palavras."
"DISCOVER_WE_COULDN_T_LOAD_THE_RESULTS";"";"";"Não foi possível carregar os resultados.
Tente novamente."
"DROPDOWN_LIST_SELECT";"";"";"Selecionar"
"EMOTES_EDIT";"";"";"Editar"
"EMOTES_EMOTES";"";"";"Emotes"
"EMOTES_EQUIP";"";"";"EQUIPAR"
"EMOTES_EQUIP_EMOTE";"";"";"Equipar Emote"
"EMOTES_NEW";"";"";"NOVO"
"EMOTES_UNEQUIP";"";"";"REMOVER"
"EVENTS_REMINDER_SET";"";"";"LEMBRETE ATIVO"
"EVENTS_REMIND_ME";"";"";"LEMBRAR"
"EVENTS_SIGN_IN_TO_USE_REMINDERS";"";"";"ENTRE PARA USAR LEMBRETES"
"EVENT_FREQUENCY_DAILY";"";"";"Diário"
"EVENT_FREQUENCY_MONTHLY";"";"";"Mensal"
"EVENT_FREQUENCY_WEEKLY";"";"";"Semanal"
"EVENT_PILL_DATE";"";"";"{day} {month}"
"EVENT_PILL_IN_DAY";"EVENT_PILL_IN_DAY_PLURAL";"";"EM %d DIA"
"";"";"";"EM %d DIAS"
"EVENT_PILL_IN_HR";"EVENT_PILL_IN_HR_PLURAL";"";"EM %d H"
"";"";"";"EM %d H"
"EVENT_PILL_IN_MIN";"EVENT_PILL_IN_MIN_PLURAL";"";"EM %d MIN"
"";"";"";"EM %d MIN"
"FAV_BUTTON_UNFAVORITE";"";"";"REMOVER DOS FAVORITOS"
"FRIENDS_FRIENDS";"";"";"AMIGOS"
"FRIENDS_NOW_ONLINE";"";"";"[color=#%s]%s[/color] [color=#8f8]está online agora[/color]"
"FRIENDS_NO_BLOCKED_ACCOUNTS_YET";"";"";"Nenhuma conta bloqueada ainda"
"FRIENDS_NO_BLOCKED_MESSAGE";"";"";"Se você bloquear alguém, vocês não poderão se ver no mundo nem trocar mensagens em chats privados ou públicos.
Você pode bloquear outro usuário pelo menu de três (3) pontos disponível no perfil dele."
"FRIENDS_NO_FRIENDS_MESSAGE";"";"";"Abra o perfil de alguém ou toque no botão ""Adicionar amigo"" na lista de quem está por perto."
"FRIENDS_NO_ONE_NEARBY";"";"";"Ninguém por perto"
"FRIENDS_OFFLINE_COUNT";"";"";"OFFLINE (%d)"
"FRIENDS_ONLINE_COUNT";"";"";"ONLINE (%d)"
"FRIENDS_REQUESTS_COUNT";"";"";"PEDIDOS (%d)"
"FRIENDS_SOMETHING_WENT_WRONG_AND_WE_COULDN";"";"";"Algo deu errado e não foi possível carregar seus amigos."
"FRIENDS_TIME_TO_MAKE_SOME_FRIENDS";"";"";"Hora de fazer amigos!"
"FRIENDS_TRY_TRAVELING_SOMEWHERE_ELSE_TO_MEET";"";"";"Viaje para outro lugar e conheça gente nova."
"FRIENDS_WHOOPS_FRIENDS_SYSTEM_IS_DOWN";"";"";"Ops...
O sistema de amigos está fora do ar!"
"FTUE_WELCOME";"";"";"Boas-vindas, [color=#B18AFF]@%s[/color]
Vamos começar"
"FTUE_WELCOME_PLACEHOLDER";"";"";"Boas-vindas, [color=#E8B9FF]@UserName[/color] Vamos começar"
"GUEST_UPGRADE_CARD_ADD_EMAIL_TO_PLAY_ACROSS_MOBILE";"";"";"Adicione seu e-mail para jogar no celular e no computador e garanta um Wearable exclusivo."
"GUEST_UPGRADE_DISCOVER";"";"";"DESCOBRIR"
"IAP_PURCHASE_OVERLAY_LOADING";"";"";"Carregando..."
"IAP_PURCHASE_SUCCESS_MODAL_PURCHASE_SUCCESSFUL";"";"";"Compra
concluída"
"INFO_PANEL_LESS";"";"";"MENOS"
"INFO_PANEL_MORE";"";"";"MAIS"
"INPUTS_INVALID_FORMAT";"";"";"Formato inválido"
"INPUTS_TYPE_TEXT_HERE";"";"";"Digite aqui..."
"INPUT_ERROR_CHARACTER_LIMIT";"";"";"Limite de caracteres atingido"
"INPUT_ERROR_NO_EDGE_SPACES";"";"";"Não são permitidos espaços no início nem no fim"
"INPUT_ERROR_NO_SPACES";"";"";"Não são permitidos espaços"
"INPUT_ERROR_NO_SPECIAL_CHARACTERS";"";"";"Não são permitidos caracteres especiais"
"INPUT_MODAL_ADD";"";"";"ADICIONAR"
"INPUT_MODAL_ADD_EMAIL";"";"";"Adicionar e-mail"
"INPUT_MODAL_MY_EMAIL";"";"";"Meu e-mail"
"INPUT_MODAL_NAME_EMAIL_COM";"";"";"nome@email.com"
"JUMP_IN_POPUP_CREATED_BY";"";"";"Criado por %s"
"JUMP_IN_POPUP_CREATED_BY_UNKNOWN";"";"";"Criado por alguém desconhecido"
"LOADING_CREATED_BY";"";"";"[color=#DF9CFF]Por[/color] [b]%s[/b]"
"LOADING_ENJOY_EXPERIENCE";"";"";"Aproveite a experiência"
"LOADING_PERCENT";"";"";"{value}%"
"LOBBY_DISCARD";"";"";"DESCARTAR"
"LOBBY_DISCARD_BODY";"";"";"As alterações do seu avatar não serão salvas."
"LOBBY_DISCARD_CHANGES";"";"";"Descartar alterações?"
"LOBBY_GUEST_SESSION_FAILED";"";"";"Não foi possível iniciar sua sessão de convidado. Tente novamente."
"LOBBY_GUEST_WALLET_RESET";"";"";"Carteira de convidado redefinida"
"LOBBY_SOMETHING_WENT_WRONG";"";"";"Algo deu errado"
"MARKETPLACE_RECOMMENDED_SECTION_RECOMMENDED_FOR_YOU";"";"";"Recomendado para você"
"MENU_ADD_EMAIL_RECOVERY";"";"";"Adicionar e-mail de recuperação"
"MENU_ALL_YOUR_PROGRESS_PURCHASES_AND_DATA";"";"";"Você perderá todo o seu progresso, compras e dados. Esta ação é permanente e não pode ser desfeita."
"MENU_CANCEL_DELETION";"";"";"CANCELAR EXCLUSÃO"
"MENU_DELETION_REQUESTED";"";"";"Exclusão solicitada"
"MENU_EMAIL_LINKED";"";"";"E-mail vinculado"
"MENU_ENTER_CODE";"";"";"Inserir código"
"MENU_ENTER_THE_NUMERIC_CODE_WE_SENT";"";"";"Digite o código numérico que enviamos para você."
"MENU_IF_YOU_REGISTERED_YOUR_DECENTRALAND_ACCOUNT";"";"";"*Se você registrou sua conta da Decentraland com uma carteira não custodial, não há dados a remover, porque não armazenamos seus dados."
"MENU_INVALID_RESPONSE";"";"";"Resposta inválida"
"MENU_LINK_AN_EMAIL_TO_RECOVER_THIS";"";"";"Vincule um e-mail para recuperar esta conta. O endereço da sua carteira continua o mesmo."
"MENU_NAVBAR_BUTTON_DISCOVER";"";"";"DESCOBRIR"
"MENU_OK";"";"";"OK"
"MENU_OOOPS_SOMETHING_WENT_WRONG";"";"";"Ops... Algo deu
errado"
"MENU_PLEASE_ENTER_A_VALID_EMAIL_ADDRESS";"";"";"Digite um endereço de e-mail válido."
"MENU_PROCESSING";"";"";"Processando"
"MENU_REQUEST_ACCOUNT_DELETION";"";"";"Solicitar exclusão da conta?"
"MENU_RESEND_CODE";"";"";"REENVIAR CÓDIGO"
"MENU_SEND_CODE";"";"";"ENVIAR CÓDIGO"
"MENU_THIS_PROCESS_CAN_TAKE_UP_TO";"";"";"Este processo pode levar até 30 dias para ser concluído."
"MENU_UPDATING_PROFILE";"";"";"Atualizando o perfil..."
"MENU_VERIFY";"";"";"VERIFICAR"
"MENU_WE_COULDN_T_PROCESS_YOUR_REQUEST";"";"";"Não foi possível processar seu pedido.
Tente novamente mais tarde"
"MENU_WE_LL_KEEP_YOU_UPDATED_ON";"";"";"Vamos manter você informado sobre o processo pelo e-mail usado para registrar a conta."
"MENU_WE_SENT_A_CODE_TO_YOUR";"";"";"Enviamos um código para o seu e-mail"
"MENU_YES_DELETE";"";"";"SIM, EXCLUIR"
"MENU_YOUR_EMAIL_IS_LINKED_YOU_CAN";"";"";"Seu e-mail está vinculado. Agora você pode recuperar esta conta."
"MENU_YOU_EXAMPLE_COM";"";"";"voce@exemplo.com"
"MODAL_ADD_EMAIL_ERROR_BODY";"";"";"Algo deu errado. Tente novamente mais tarde."
"MODAL_ADD_EMAIL_ERROR_TITLE";"";"";"Algo deu errado"
"MODAL_ADD_EMAIL_PLACEHOLDER";"";"";"nome@email.com"
"MODAL_ADD_EMAIL_SUBTITLE";"";"";"Meu e-mail"
"MODAL_ADD_EMAIL_TITLE";"";"";"Adicionar e-mail"
"MODAL_BAN_KICKED_BODY";"";"";"Entre em contato com o suporte para mais informações."
"MODAL_BAN_KICKED_PRIMARY";"";"";"VOLTAR AO DESCOBRIR"
"MODAL_BAN_KICKED_TITLE";"";"";"Você foi banido"
"MODAL_BAN_PRE_CHECK_BODY";"";"";"Você está banido desta scene.
Entre em contato com o suporte para mais informações."
"MODAL_BAN_PRE_CHECK_PRIMARY";"";"";"VOLTAR AO DESCOBRIR"
"MODAL_BAN_PRE_CHECK_TITLE";"";"";"Você não pode entrar"
"MODAL_BY";"";"";"por"
"MODAL_CODE_INVALID_OR_EXPIRED";"";"";"O código é inválido ou expirou. Reenvie o código."
"MODAL_CONNECTION_LOST_BODY";"";"";"Verifique sua conexão com a internet e tente novamente."
"MODAL_CONNECTION_LOST_PRIMARY";"";"";"TENTAR NOVAMENTE"
"MODAL_CONNECTION_LOST_SECONDARY";"";"";"SAIR"
"MODAL_CONNECTION_LOST_TITLE";"";"";"Conexão perdida"
"MODAL_CREDIT_LIMIT_DAILY_BODY";"";"";"Você atingiu a quantidade máxima de créditos que pode comprar hoje."
"MODAL_CREDIT_LIMIT_PRIMARY";"";"";"OK"
"MODAL_CREDIT_LIMIT_TITLE";"";"";"Limite atingido"
"MODAL_CREDIT_LIMIT_TOTAL_BODY";"";"";"Você não pode comprar mais créditos porque atingiu o limite máximo acumulado. Gaste seus créditos para comprar mais."
"MODAL_EMAIL_INVALID";"";"";"E-mail inválido"
"MODAL_EMAIL_IN_USE_BODY";"";"";"Este e-mail já está vinculado a outra conta.
Tente outro e-mail."
"MODAL_EMAIL_IN_USE_TITLE";"";"";"E-mail já em uso"
"MODAL_EXTERNAL_LINK_BODY";"";"";"Você está prestes a visitar um site externo. Confirme que confia nele antes de continuar."
"MODAL_EXTERNAL_LINK_PRIMARY";"";"";"ABRIR LINK"
"MODAL_EXTERNAL_LINK_SECONDARY";"";"";"CANCELAR"
"MODAL_EXTERNAL_LINK_TITLE";"";"";"Abrir link externo?"
"MODAL_IAP_TERMS_CHECKBOX";"";"";"Li e aceito os [color=#E8B9FF][url=""https://decentraland.org/terms""]Termos de Uso[/url][/color], a [color=#E8B9FF][url=""https://decentraland.org/privacy""]Política de Privacidade[/url][/color], a [color=#E8B9FF][url=""https://decentraland.org/content""]Política de Conteúdo[/url][/color] e os [color=#E8B9FF][url=""https://decentraland.org/credits-terms""]Termos de Uso dos Créditos[/url][/color] da Decentraland."
"MODAL_IAP_TERMS_PRIMARY";"";"";"CONFIRMAR"
"MODAL_IAP_TERMS_SECONDARY";"";"";"CANCELAR"
"MODAL_IAP_TERMS_TITLE";"";"";"Termos de Uso"
"MODAL_LOADING_IS_TAKING_LONGER_THAN_EXPECTED";"";"";"O carregamento está demorando mais que o esperado"
"MODAL_LOW_MEMORY_BODY";"";"";"Este lugar pode não rodar bem no seu dispositivo e fechar inesperadamente."
"MODAL_LOW_MEMORY_PRIMARY";"";"";"CONTINUAR"
"MODAL_LOW_MEMORY_SECONDARY";"";"";"VOLTAR AO DESCOBRIR"
"MODAL_LOW_MEMORY_TITLE";"";"";"Memória insuficiente"
"MODAL_LOW_SPEC_IPHONE_BODY";"";"";"Seu dispositivo está abaixo das especificações recomendadas (iPhone 13/SE 2023). Você pode notar lentidão, travamentos ou aquecimento durante o jogo."
"MODAL_LOW_SPEC_IPHONE_PRIMARY";"";"";"OK"
"MODAL_LOW_SPEC_IPHONE_TITLE";"";"";"Desempenho limitado"
"MODAL_PRIVATE_WORLD_BODY";"";"";"Somente pessoas convidadas podem entrar."
"MODAL_PRIVATE_WORLD_PRIMARY";"";"";"OK"
"MODAL_PRIVATE_WORLD_TITLE";"";"";"%s é privado"
"MODAL_PURCHASE_FAILED_BODY";"";"";"Não foi possível concluir sua compra"
"MODAL_PURCHASE_FAILED_PRIMARY";"";"";"OK"
"MODAL_PURCHASE_FAILED_TITLE";"";"";"Algo deu
errado"
"MODAL_PURCHASE_IN_FLIGHT_BODY";"";"";"Uma compra já está sendo processada. Aguarde a conclusão antes de iniciar outra."
"MODAL_PURCHASE_IN_FLIGHT_PRIMARY";"";"";"OK"
"MODAL_PURCHASE_IN_FLIGHT_TITLE";"";"";"Compra em andamento"
"MODAL_PURCHASE_PROCESSING_BODY";"";"";"Sua compra foi concluída e seus créditos serão adicionados em breve."
"MODAL_PURCHASE_PROCESSING_PRIMARY";"";"";"OK"
"MODAL_PURCHASE_PROCESSING_TITLE";"";"";"Quase lá"
"MODAL_PURCHASE_UNAVAILABLE_BODY";"";"";"A compra de créditos está temporariamente indisponível. Tente novamente mais tarde."
"MODAL_PURCHASE_UNAVAILABLE_PRIMARY";"";"";"OK"
"MODAL_PURCHASE_UNAVAILABLE_TITLE";"";"";"Temporariamente
indisponível"
"MODAL_SCENE_CRASH_BODY";"";"";"Esta scene parou de funcionar. Recarregue ou volte ao Descobrir."
"MODAL_SCENE_CRASH_PRIMARY";"";"";"RECARREGAR"
"MODAL_SCENE_CRASH_SECONDARY";"";"";"VOLTAR"
"MODAL_SCENE_CRASH_TITLE";"";"";"Erro de scene"
"MODAL_SCENE_TIMEOUT_BODY";"";"";"Você pode recarregar a experiência ou entrar agora; ela continuará carregando em segundo plano."
"MODAL_SCENE_TIMEOUT_PRIMARY";"";"";"RECARREGAR"
"MODAL_SCENE_TIMEOUT_SECONDARY";"";"";"ENTRAR MESMO ASSIM"
"MODAL_SCENE_TIMEOUT_TITLE";"";"";"O carregamento está demorando mais que o esperado"
"MODAL_SESSION_ENDED_DUPLICATE_BODY";"";"";"Sua sessão foi encerrada porque sua conta entrou de outro local."
"MODAL_SESSION_ENDED_DUPLICATE_TITLE";"";"";"Sessão encerrada"
"MODAL_SESSION_ENDED_OTHER_BODY";"";"";"Você foi desconectado do servidor. Tente novamente mais tarde."
"MODAL_SESSION_ENDED_OTHER_TITLE";"";"";"Desconectado"
"MODAL_SESSION_ENDED_RETRY_PRIMARY";"";"";"RECONECTAR"
"MODAL_SESSION_ENDED_ROOM_CLOSED_BODY";"";"";"A sala em que você estava foi fechada."
"MODAL_SESSION_ENDED_ROOM_CLOSED_TITLE";"";"";"Sala fechada"
"MODAL_SESSION_ENDED_SECONDARY";"";"";"SAIR"
