"keys";"?plural";"?context";"en"
"FRIENDS_SOCIAL";"";"";"Social"
"FRIENDS_SOMETHING_WENT_WRONG_LOADING";"";"";"Something went wrong while loading your friends.
Try again later."
"FRIENDS_TRY_TRAVELING_SOMEWHERE_ELSE_TO_MEET";"";"";"Try traveling somewhere else to meet new people."
"FTUE_WELCOME";"";"";"Welcome [color=#B18AFF]@{name}[/color]
Let's get you started"
"FTUE_WELCOME_PLACEHOLDER";"";"";"Welcome [color=#E8B9FF]@UserName[/color] Let's get you started"
"GUEST_UPGRADE_CARD_ADD_EMAIL_TO_PLAY_ACROSS_MOBILE";"";"";"Add email to play across mobile and desktop, and claim an exclusive Wearable."
"GUEST_UPGRADE_DISCOVER";"";"";"DISCOVER"
"IAP_PURCHASE_OVERLAY_LOADING";"";"";"Loading..."
"IAP_PURCHASE_SUCCESS_MODAL_PURCHASE_SUCCESSFUL";"";"";"Purchase
Successful"
"INFO_PANEL_LESS";"";"";"LESS"
"INFO_PANEL_MORE";"";"";"MORE"
"INPUTS_INVALID_FORMAT";"";"";"Invalid format"
"INPUTS_TYPE_TEXT_HERE";"";"";"Type text here..."
"INPUT_ERROR_CHARACTER_LIMIT";"";"";"Characters limit reached"
"INPUT_ERROR_NO_EDGE_SPACES";"";"";"Edge spaces aren't allowed"
"INPUT_ERROR_NO_SPACES";"";"";"Spaces aren't allowed"
"INPUT_ERROR_NO_SPECIAL_CHARACTERS";"";"";"Special characters aren't allowed"
"INPUT_MODAL_ADD";"";"";"ADD"
"INPUT_MODAL_ADD_EMAIL";"";"";"Add Email"
"INPUT_MODAL_MY_EMAIL";"";"";"My Email"
"INPUT_MODAL_NAME_EMAIL_COM";"";"";"name@email.com"
"JUMP_IN_POPUP_CREATED_BY";"";"";"Created by {creator}"
"JUMP_IN_POPUP_CREATED_BY_UNKNOWN";"";"";"Created by Unknown"
"LOADING_CREATED_BY";"";"";"[color=#DF9CFF]By[/color] [b]{creator}[/b]"
"LOADING_ENJOY_EXPERIENCE";"";"";"Enjoy your Experience"
"LOADING_PERCENT";"";"";"{value}%"
"LOBBY_DISCARD";"";"";"DISCARD"
"LOBBY_DISCARD_BODY";"";"";"Your avatar changes won't be saved."
"LOBBY_DISCARD_CHANGES";"";"";"Discard changes?"
"LOBBY_GUEST_SESSION_FAILED";"";"";"We couldn't start your guest session. Please try again."
"LOBBY_GUEST_WALLET_RESET";"";"";"Guest wallet reset"
"LOBBY_SOMETHING_WENT_WRONG";"";"";"Something went wrong"
"MARKETPLACE_RECOMMENDED_SECTION_RECOMMENDED_FOR_YOU";"";"";"Recommended for you"
"MENU_ADD_EMAIL_RECOVERY";"";"";"Add Email Recovery"
"MENU_ALL_YOUR_PROGRESS_PURCHASES_AND_DATA";"";"";"All your progress, purchases and data will be lost. This action is permanent and cannot be undone."
"MENU_CANCEL_DELETION";"";"";"CANCEL DELETION"
"MENU_DELETION_REQUESTED";"";"";"Deletion Requested"
"MENU_EMAIL_LINKED";"";"";"Email Linked"
"MENU_ENTER_CODE";"";"";"Enter Code"
"MENU_ENTER_THE_NUMERIC_CODE_WE_SENT";"";"";"Enter the numeric code we sent you."
"MENU_IF_YOU_REGISTERED_YOUR_DECENTRALAND_ACCOUNT";"";"";"*If you registered your Decentraland account via a non custodial wallet, there is no data to be removed as we don’t store your data."
"MENU_INVALID_RESPONSE";"";"";"Invalid response"
"MENU_LINK_AN_EMAIL_TO_RECOVER_THIS";"";"";"Link an email to recover this account. Your wallet address stays the same."
"MENU_NAVBAR_BUTTON_DISCOVER";"";"";"DISCOVER"
"MENU_OK";"";"";"OK"
"MENU_OOOPS_SOMETHING_WENT_WRONG";"";"";"Ooops... Something
Went Wrong"
"MENU_PLEASE_ENTER_A_VALID_EMAIL_ADDRESS";"";"";"Please enter a valid email address."
"MENU_PROCESSING";"";"";"Processing"
"MENU_REQUEST_ACCOUNT_DELETION";"";"";"Request Account Deletion?"
"MENU_RESEND_CODE";"";"";"RESEND CODE"
"MENU_SEND_CODE";"";"";"SEND CODE"
"MENU_THIS_PROCESS_CAN_TAKE_UP_TO";"";"";"This process can take up to 30d to complete."
"MENU_UPDATING_PROFILE";"";"";"Updating profile..."
"MENU_VERIFY";"";"";"VERIFY"
"MENU_WE_COULDN_T_PROCESS_YOUR_REQUEST";"";"";"We couldn’t process your request.
Please try again later"
"MENU_WE_LL_KEEP_YOU_UPDATED_ON";"";"";"We’ll keep you updated on the process through the email address used to register the account."
"MENU_WE_SENT_A_CODE_TO_YOUR";"";"";"We sent a code to your email"
"MENU_YES_DELETE";"";"";"YES, DELETE"
"MENU_YOUR_EMAIL_IS_LINKED_YOU_CAN";"";"";"Your email is linked. You can now recover this account."
"MENU_YOU_EXAMPLE_COM";"";"";"you@example.com"
"MODAL_ADD_EMAIL_ERROR_BODY";"";"";"Something went wrong. Please try again later."
"MODAL_ADD_EMAIL_ERROR_TITLE";"";"";"Something went wrong"
"MODAL_ADD_EMAIL_PLACEHOLDER";"";"";"name@email.com"
"MODAL_ADD_EMAIL_SUBTITLE";"";"";"My email"
"MODAL_ADD_EMAIL_TITLE";"";"";"Add Email"
"MODAL_BAN_KICKED_BODY";"";"";"Please contact support for more information."
"MODAL_BAN_KICKED_PRIMARY";"";"";"BACK TO DISCOVER"
"MODAL_BAN_KICKED_TITLE";"";"";"You've been banned"
"MODAL_BAN_PRE_CHECK_BODY";"";"";"You're banned from this scene.
Please contact support for more information."
"MODAL_BAN_PRE_CHECK_PRIMARY";"";"";"BACK TO DISCOVER"
"MODAL_BAN_PRE_CHECK_TITLE";"";"";"You can't enter"
"MODAL_BY";"";"";"by"
"MODAL_CODE_INVALID_OR_EXPIRED";"";"";"The code is invalid or expired. Please resend code."
"MODAL_CONNECTION_LOST_BODY";"";"";"Please check your internet connection and try again."
"MODAL_CONNECTION_LOST_PRIMARY";"";"";"RETRY"
"MODAL_CONNECTION_LOST_SECONDARY";"";"";"EXIT"
"MODAL_CONNECTION_LOST_TITLE";"";"";"Connection lost"
"MODAL_CREDIT_LIMIT_DAILY_BODY";"";"";"You've reached the maximum amount of credits you can buy today."
"MODAL_CREDIT_LIMIT_PRIMARY";"";"";"OK"
"MODAL_CREDIT_LIMIT_TITLE";"";"";"Limit reached"
"MODAL_CREDIT_LIMIT_TOTAL_BODY";"";"";"You can't buy more credits because you've reached maximum holding limit. Spend your credits to buy more."
"MODAL_EMAIL_INVALID";"";"";"Invalid email"
"MODAL_EMAIL_IN_USE_BODY";"";"";"This email is already linked to another account.
Try a different email."
"MODAL_EMAIL_IN_USE_TITLE";"";"";"Email already in use"
"MODAL_EXTERNAL_LINK_BODY";"";"";"You're about to visit an external website. Make sure you trust this site before continuing."
"MODAL_EXTERNAL_LINK_PRIMARY";"";"";"OPEN LINK"
"MODAL_EXTERNAL_LINK_SECONDARY";"";"";"CANCEL"
"MODAL_EXTERNAL_LINK_TITLE";"";"";"Open external link?"
