"keys";"?plural";"?context";"es"
"AUTH_SIGNED_IN_AS";"";"";"Has iniciado sesión como"
"AUTH_SIGNED_IN_AS_NAME";"";"";"Has iniciado sesión como
{name}."
"AUTH_SIGN_IN_BUTTON";"";"";"INICIAR SESIÓN"
"AUTH_SIGN_IN_TITLE";"";"";"Inicia sesión en Decentraland"
"AUTH_UPDATE_BODY";"";"";"Hay una nueva versión de Decentraland disponible. Actualiza para disfrutar de la mejor experiencia."
"AUTH_UPDATE_TITLE";"";"";"Nueva versión disponible"
"AUTH_USE_ANOTHER_ACCOUNT";"";"";"Usar otra cuenta"
"AUTH_WALLET_OPENING_METAMASK";"";"";"Abriendo MetaMask..."
"AUTH_WALLET_WAITING_METAMASK";"";"";"Esperando a MetaMask..."
"AUTH_WELCOME_BACK";"";"";"Bienvenido de nuevo"
"AUTH_WELCOME_TAGLINE";"";"";"Descubre un mundo creado
por su comunidad"
"AUTH_WELCOME_TITLE";"";"";"Te damos la bienvenida a Decentraland"
"BACKPACK_ALL";"";"";"Todo"
"BACKPACK_ALL_CAPS";"";"";"TODO"
"BACKPACK_BACKPACK";"";"";"Backpack"
"BACKPACK_BODY";"";"";"CUERPO"
"BACKPACK_CLOTHING";"";"";"ROPA"
"BACKPACK_COLLECTIBLES";"";"";"Coleccionables"
"BACKPACK_COLOR_LABEL";"";"";"Color de {category}"
"BACKPACK_EMOTES";"";"";"Emotes"
"BACKPACK_EQUIPPED";"";"";"Equipado"
"BACKPACK_EXTRAS";"";"";"EXTRAS"
"BACKPACK_FACE";"";"";"CARA"
"BACKPACK_FIND_NEW_ONES_IN_THE_MARKETPLACE";"";"";"Encuentra más en el
[color=#A0ABFF][url]Marketplace[/url][/color]"
"BACKPACK_NOTHING_HERE_YET";"";"";"Aquí no hay nada todavía"
"BACKPACK_OUTFITS";"";"";"Conjuntos"
"BACKPACK_WEARABLES";"";"";"Wearables"
"BUG_REPORT_CATEGORY_CHAT";"";"";"Chat"
"BUG_REPORT_CATEGORY_CRASH";"";"";"Cierre / Bloqueo"
"BUG_REPORT_CATEGORY_FRIENDS";"";"";"Amigos"
"BUG_REPORT_CATEGORY_OTHER";"";"";"Otro"
"BUG_REPORT_CATEGORY_PERFORMANCE";"";"";"Rendimiento"
"BUG_REPORT_CATEGORY_PROFILE";"";"";"Perfil"
"BUG_REPORT_CATEGORY_STREAMING";"";"";"Streaming"
"BUG_REPORT_CATEGORY_WEARABLES";"";"";"Wearables/Emotes"
"BUG_REPORT_DESCRIPTION";"";"";"Descripción"
"BUG_REPORT_DESCRIPTION_PLACEHOLDER";"";"";"Describe brevemente qué ocurrió."
"BUG_REPORT_ISSUE_TYPE";"";"";"Tipo de problema"
"BUG_REPORT_SCREENSHOT";"";"";"Captura de pantalla"
"BUG_REPORT_TITLE";"";"";"Reporte de error"
"CALENDAR_EVENT_LOCATION";"";"";"Decentraland en {x},{y}"
"CALENDAR_TIME_RANGE";"";"";"{start} a {end} {tz}"
"CHANGE_NICK_POPUP_A_NAME_COMES_WITH_A_WORLD";"";"";"¡Un NAME incluye un World donde puedes construir y organizar eventos, y además te da Poder de Voto en la DAO!"
"CHANGE_NICK_POPUP_CLAIM_A_UNIQUE_NAME_FOR_THE";"";"";"¡Reclama un NAME único para vivir la experiencia completa de Decentraland!"
"CHANGE_NICK_POPUP_CLAIM_NAME";"";"";"RECLAMAR NAME"
"CHANGE_NICK_POPUP_EDIT_USERNAME";"";"";"Editar nombre de usuario"
"CHANGE_NICK_POPUP_SAVE";"";"";"GUARDAR"
"CHANGE_NICK_POPUP_USERNAME";"";"";"Nombre de usuario"
"CHATBAR_YOU_CAN_SWITCH_VERTICAL_CHAT_MODE";"";"";"Puedes cambiar al modo de chat vertical"
"CHAT_HEADER_NEARBY";"";"";"Cerca"
"CHAT_SEND";"";"";"ENVIAR"
"CHAT_SYSTEM_CHANGING_REALM";"";"";"[color=#ccc]Intentando cambiar al realm {realm}[/color]"
"CHAT_SYSTEM_CHANGING_WORLD";"";"";"[color=#ccc]Intentando cambiar al world {world}[/color]"
"CHAT_SYSTEM_NO_CAMERA";"";"";"[color=#ccc]🔴 No hay ninguna cámara activa[/color]"
"CHAT_SYSTEM_SENDER";"";"";"Sistema"
"CHAT_SYSTEM_TELEPORTED";"";"";"[color=#ccc]🟢 Te has teletransportado a {location}[/color]"
"CHAT_SYSTEM_UNKNOWN_COMMAND";"";"";"[color=#ccc]🔴 Comando desconocido[/color]"
"CHAT_SYSTEM_WELCOME";"";"";"[color=#cfc][b]¡Te damos la bienvenida a Decentraland! Respeta a los demás y diviértete.[/b][/color]"
"CHAT_WRITE_A_MESSAGE";"";"";"Escribe un mensaje"
"CHAT_WRITE_A_MESSAGE_ELLIPSIS";"";"";"Escribe un mensaje..."
"CODE_MODAL_ENTER_VERIFICATION_CODE";"";"";"Introduce el código de verificación"
"CODE_MODAL_OTP_SENT_TO";"";"";"Hemos enviado un código de un solo uso a [b]{email}[/b]. Introdúcelo abajo para completar la verificación."
"CODE_MODAL_RESEND_LINK_ACTIVE";"";"";"[u][color=#A0ABFF]Reenviar email[/color][/u]"
"CODE_MODAL_RESEND_LINK_DIMMED";"";"";"[u][color=#A0ABFFB3]Reenviar email ({minutes}:{seconds})[/color][/u]"
"CODE_MODAL_RESEND_PREFIX";"";"";"¿No has recibido el email? "
"CODE_MODAL_RESEND_PROMPT";"";"";"¿No has recibido el email? [u][color=A0ABFF]Reenviar email"
"CODE_MODAL_SENT_TO";"";"";"Hemos enviado un código de un solo uso a [b]tu@email.com[/b]. Introdúcelo abajo para completar la verificación."
"CODE_MODAL_THE_CODE_IS_INVALID_OR_EXPIRED";"";"";"El código no es válido o ha caducado. Vuelve a enviarlo."
"CODE_MODAL_VERIFYING";"";"";"Verificando..."
"COLOR_CARROUSEL_HAIR_COLOR";"";"";"Color de pelo"
"COLOR_PICKER_PRESETS";"";"";"PREAJUSTES
"
"COMMON_ADD_EMAIL";"";"";"AÑADIR EMAIL"
"COMMON_BLOCKED";"";"";"BLOQUEADO"
"COMMON_BY";"";"";"por"
"COMMON_CANCEL";"";"";"CANCELAR"
"COMMON_DESCRIPTION";"";"";"DESCRIPCIÓN"
"COMMON_DONE";"";"";"LISTO"
"COMMON_EDIT";"";"";"EDITAR"
"COMMON_EMAIL_ALREADY_LINKED";"";"";"Este email ya está vinculado a otra cuenta."
"COMMON_EMPTY_PARCEL";"";"";"Parcel vacío"
"COMMON_JUMP_IN";"";"";"ENTRAR"
"COMMON_NEARBY";"";"";"CERCA"
"COMMON_NEXT";"";"";"SIGUIENTE"
"COMMON_NOT_NOW";"";"";"AHORA NO"
"COMMON_OR";"";"";"o"
"COMMON_SOMEONE";"";"";"Alguien"
"COMMON_SOMETHING_WENT_WRONG";"";"";"¡Uy! Algo ha salido mal"
"COMMON_SOMETHING_WENT_WRONG_RETRY";"";"";"Algo ha salido mal. Inténtalo de nuevo."
"COMMON_SUBMIT";"";"";"ENVIAR"
"COMMON_TAP_TO_CONTINUE";"";"";"Toca para continuar"
"COMMON_TOO_MANY_ATTEMPTS";"";"";"Demasiados intentos. Espera un momento e inténtalo de nuevo."
"COMMON_TRY_AGAIN";"";"";"REINTENTAR"
"COMMON_UNKNOWN_PLACE";"";"";"Lugar desconocido"
"COMMON_UNKNOWN_USER";"";"";"Desconocido"
"COMMON_UNLOCK_THE_FULL_EXPERIENCE";"";"";"Desbloquea la experiencia completa"
"COMMON_UPDATE";"";"";"ACTUALIZAR"
"CREDITS_AMOUNT_DEDUCTED";"";"";"-{amount}"
"CREDITS_BALANCE_CARD_MY_CREDITS";"";"";"Mis Créditos"
"CREDITS_CREDITS";"";"";"Créditos"
"CREDITS_HISTORY_ITEM_REFUND_DEDUCTION";"";"";"Descuento por reembolso"
"CREDITS_HISTORY_PURCHASE_HISTORY";"";"";"historial de compras"
"CREDITS_PURCHASED";"CREDITS_PURCHASED_PLURAL";"";"Has comprado {credits} CRÉDITO"
"";"";"";"Has comprado {credits} CRÉDITOS"
"CREDITS_PURCHASES";"";"";"Compras"
"CREDITS_QUANTITY";"";"";"Créditos x{amount}"
"CREDITS_SHOP_CREDITS_ARE_A_LIMITED_DIGITAL_IN";"";"";"Los Créditos son un recurso digital limitado dentro de la app que se compra con dinero real a través de Apple. Puedes usarlos para adquirir contenido digital, como Wearables y Emotes, en la app de iOS."
"CREDITS_SHOP_CREDITS_DO_NOT_EXPIRE_HOWEVER_THE";"";"";"Los Créditos no caducan. Sin embargo, la Foundation podría fijar fechas de caducidad o retirarlos en el futuro avisando con al menos 30 días de antelación."
"CREDITS_SHOP_DO_CREDITS_EXPIRE";"";"";"¿Caducan los Créditos?"
"CREDITS_SHOP_FAQ";"";"";"PREGUNTAS FRECUENTES"
"CREDITS_SHOP_LICENCE";"";"";"Acepto que estoy comprando una licencia limitada de uso de Créditos regida por los [color=#E8B9FF][url=""https://decentraland.org/credits-terms""]Términos de los Créditos[/url][/color]. Al comprar Créditos, aceptas los [color=#E8B9FF][url=""https://decentraland.org/terms""]Términos de Uso[/url][/color] y la [color=#E8B9FF][url=""https://decentraland.org/privacy""]Política de Privacidad[/url][/color] de Decentraland."
"CREDITS_SHOP_WHAT_ARE_CREDITS";"";"";"¿Qué son los Créditos?"
"CUSTOM_BUTTON_SIGN_OUT";"";"";"CERRAR SESIÓN"
"CUSTOM_SLIDER_ERROR";"";"";"Error"
"DATE_AM";"";"";"a. m."
"DATE_MONTH_APR";"";"";"abr"
"DATE_MONTH_AUG";"";"";"ago"
"DATE_MONTH_DEC";"";"";"dic"
"DATE_MONTH_FEB";"";"";"feb"
"DATE_MONTH_JAN";"";"";"ene"
"DATE_MONTH_JUL";"";"";"jul"
"DATE_MONTH_JUN";"";"";"jun"
"DATE_MONTH_MAR";"";"";"mar"
"DATE_MONTH_MAY";"";"";"may"
"DATE_MONTH_NOV";"";"";"nov"
"DATE_MONTH_OCT";"";"";"oct"
"DATE_MONTH_SEP";"";"";"sep"
"DATE_PM";"";"";"p. m."
"DATE_SHORT_FORMAT";"";"";"{weekday}, {day} de {month}."
"DATE_WEEKDAY_FRI";"";"";"vie"
"DATE_WEEKDAY_MON";"";"";"lun"
"DATE_WEEKDAY_SAT";"";"";"sáb"
"DATE_WEEKDAY_SUN";"";"";"dom"
"DATE_WEEKDAY_THU";"";"";"jue"
"DATE_WEEKDAY_TUE";"";"";"mar"
"DATE_WEEKDAY_WED";"";"";"mié"
"DIALOGS_CANCEL";"";"";"Cancelar"
"DIALOGS_DESCRIPTION";"";"";"DESCRIPCIÓN"
"DIALOGS_LOADING_NFT";"";"";"Cargando NFT..."
"DIALOGS_NO";"";"";"No"
"DIALOGS_OWNER";"";"";"PROPIETARIO"
"DIALOGS_VIEW_ON_OPENSEA";"";"";"VER EN OPENSEA"
"DIALOGS_YES";"";"";"Sí"
"DIALOG_STACK_TABS";"";"";"Pestañas: {count}"
"DISCOVER_CLEAN_ALL";"";"";"Borrar todo"
"DISCOVER_DISCOVER";"";"";"Descubrir"
"DISCOVER_DOWNLOADS_UP_TO_1GB_OF_DATA";"";"";"Descarga hasta 1 GB de datos"
"DISCOVER_EVENTS";"";"";"Eventos"
"DISCOVER_EXPLORE_MORE";"";"";"Explorar más"
"DISCOVER_FAVORITES";"";"";"Favoritos"
"DISCOVER_FEATURED";"";"";"Destacados"
"DISCOVER_FRIENDS";"";"";"Amigos"
"DISCOVER_IT_SEEMS_THERE_IS_NOTHING_TO";"";"";"Parece que aquí no hay nada que mostrar..."
"DISCOVER_LAST_VISITED";"";"";"Visitados hace poco"
"DISCOVER_LIVE";"";"";"EN VIVO"
"DISCOVER_MOST_ACTIVES";"";"";"Más activos"
"DISCOVER_MY_PLACES";"";"";"Mis lugares"
"DISCOVER_NO_RESULT_FOUND";"";"";"Sin resultados"
"DISCOVER_POINT_OF_INTEREST";"";"";"punto de interés"
"DISCOVER_RECENT_SEARCHES";"";"";"Búsquedas recientes"
"DISCOVER_SCENES";"";"";"Scenes"
"DISCOVER_SEARCHING";"";"";"¡Buscando!"
"DISCOVER_SOMETHING_WENT_WRONG";"";"";"Algo ha
salido mal"
"DISCOVER_THERE_WAS_AN_ERROR_AND_PLACES";"";"";"Se ha producido un error y no se han podido cargar los lugares."
"DISCOVER_TRENDING";"";"";"Tendencias"
"DISCOVER_TRY_SEARCHING_WITH_DIFFERENT_KEYWORDS";"";"";"Prueba a buscar con
otras palabras."
"DISCOVER_WE_COULDN_T_LOAD_THE_RESULTS";"";"";"No hemos podido cargar los resultados.
Inténtalo de nuevo."
"DROPDOWN_LIST_SELECT";"";"";"Seleccionar"
"EMOTES_EDIT";"";"";"Editar"
"EMOTES_EMOTES";"";"";"Emotes"
"EMOTES_EQUIP";"";"";"EQUIPAR"
"EMOTES_EQUIP_EMOTE";"";"";"Equipar Emote"
"EMOTES_NEW";"";"";"NUEVO"
"EMOTES_UNEQUIP";"";"";"QUITAR"
"EVENTS_REMINDER_SET";"";"";"RECORDATORIO ACTIVO"
"EVENTS_REMIND_ME";"";"";"AVISARME"
"EVENTS_SIGN_IN_TO_USE_REMINDERS";"";"";"INICIA SESIÓN PARA USAR RECORDATORIOS"
"EVENT_FREQUENCY_DAILY";"";"";"Diario"
"EVENT_FREQUENCY_MONTHLY";"";"";"Mensual"
"EVENT_FREQUENCY_WEEKLY";"";"";"Semanal"
"EVENT_PILL_DATE";"";"";"{day} {month}"
"EVENT_PILL_IN_DAY";"EVENT_PILL_IN_DAY_PLURAL";"";"EN {days} DÍA"
"";"";"";"EN {days} DÍAS"
"EVENT_PILL_IN_HR";"EVENT_PILL_IN_HR_PLURAL";"";"EN {hours} H"
"";"";"";"EN {hours} H"
"EVENT_PILL_IN_MIN";"EVENT_PILL_IN_MIN_PLURAL";"";"EN {minutes} MIN"
"";"";"";"EN {minutes} MIN"
"FAV_BUTTON_UNFAVORITE";"";"";"QUITAR DE FAVORITOS"
"FRIENDS_FRIENDS";"";"";"AMIGOS"
"FRIENDS_FRIENDS_COULDNT_LOAD";"";"";"No se pudieron cargar los amigos"
"FRIENDS_MEET_PEOPLE_NEARBY";"";"";"Conoce gente cerca y agrégala como amigos."
"FRIENDS_NOW_ONLINE";"";"";"[color=#{color}]{name}[/color] [color=#8f8]ya está en línea[/color]"
"FRIENDS_NO_FRIENDS_YET";"";"";"Aún no tienes amigos"
"FRIENDS_NO_ONE_NEARBY";"";"";"No hay nadie cerca"
"FRIENDS_NO_PENDING_REQUESTS";"";"";"No hay solicitudes pendientes"
"FRIENDS_OFFLINE";"";"";"DESCONECTADOS"
"FRIENDS_ONLINE";"";"";"EN LÍNEA"
"FRIENDS_RECEIVED";"";"";"RECIBIDAS"
"FRIENDS_REQUESTS";"";"";"SOLICITUDES"
"FRIENDS_SENT";"";"";"ENVIADAS"
"FRIENDS_SOCIAL";"";"";"Social"
"FRIENDS_SOMETHING_WENT_WRONG_LOADING";"";"";"Algo salió mal al cargar tus amigos.
Inténtalo de nuevo más tarde."
"FRIENDS_TRY_TRAVELING_SOMEWHERE_ELSE_TO_MEET";"";"";"Viaja a otro lugar para conocer gente nueva."
"FTUE_WELCOME";"";"";"Te damos la bienvenida, [color=#B18AFF]@{name}[/color]
Vamos a empezar"
"FTUE_WELCOME_PLACEHOLDER";"";"";"Te damos la bienvenida, [color=#E8B9FF]@UserName[/color] Vamos a empezar"
"GUEST_UPGRADE_CARD_ADD_EMAIL_TO_PLAY_ACROSS_MOBILE";"";"";"Añade tu email para jugar en móvil y ordenador, y consigue un Wearable exclusivo."
"GUEST_UPGRADE_DISCOVER";"";"";"DESCUBRIR"
"IAP_PURCHASE_OVERLAY_LOADING";"";"";"Cargando..."
"IAP_PURCHASE_SUCCESS_MODAL_PURCHASE_SUCCESSFUL";"";"";"Compra
realizada"
"INFO_PANEL_LESS";"";"";"MENOS"
"INFO_PANEL_MORE";"";"";"MÁS"
"INPUTS_INVALID_FORMAT";"";"";"Formato no válido"
"INPUTS_TYPE_TEXT_HERE";"";"";"Escribe aquí..."
"INPUT_ERROR_CHARACTER_LIMIT";"";"";"Has alcanzado el límite de caracteres"
"INPUT_ERROR_NO_EDGE_SPACES";"";"";"No se permiten espacios al principio ni al final"
"INPUT_ERROR_NO_SPACES";"";"";"No se permiten espacios"
"INPUT_ERROR_NO_SPECIAL_CHARACTERS";"";"";"No se permiten caracteres especiales"
"INPUT_MODAL_ADD";"";"";"AÑADIR"
"INPUT_MODAL_ADD_EMAIL";"";"";"Añadir email"
"INPUT_MODAL_MY_EMAIL";"";"";"Mi email"
"INPUT_MODAL_NAME_EMAIL_COM";"";"";"nombre@email.com"
"JUMP_IN_POPUP_CREATED_BY";"";"";"Creado por {creator}"
"JUMP_IN_POPUP_CREATED_BY_UNKNOWN";"";"";"Creado por alguien desconocido"
"LOADING_CREATED_BY";"";"";"[color=#DF9CFF]Por[/color] [b]{creator}[/b]"
"LOADING_ENJOY_EXPERIENCE";"";"";"Disfruta de la experiencia"
"LOADING_PERCENT";"";"";"{value} %"
"LOBBY_DISCARD";"";"";"DESCARTAR"
"LOBBY_DISCARD_BODY";"";"";"No se guardarán los cambios en tu avatar."
"LOBBY_DISCARD_CHANGES";"";"";"¿Descartar los cambios?"
"LOBBY_GUEST_SESSION_FAILED";"";"";"No hemos podido iniciar tu sesión de invitado. Inténtalo de nuevo."
"LOBBY_GUEST_WALLET_RESET";"";"";"Billetera de invitado restablecida"
"LOBBY_SOMETHING_WENT_WRONG";"";"";"Algo ha salido mal"
"MARKETPLACE_RECOMMENDED_SECTION_RECOMMENDED_FOR_YOU";"";"";"Recomendado para ti"
"MENU_ADD_EMAIL_RECOVERY";"";"";"Añadir email de recuperación"
"MENU_ALL_YOUR_PROGRESS_PURCHASES_AND_DATA";"";"";"Perderás todo tu progreso, tus compras y tus datos. Esta acción es permanente y no se puede deshacer."
"MENU_CANCEL_DELETION";"";"";"CANCELAR ELIMINACIÓN"
"MENU_DELETION_REQUESTED";"";"";"Eliminación solicitada"
"MENU_EMAIL_LINKED";"";"";"Email vinculado"
"MENU_ENTER_CODE";"";"";"Introducir código"
"MENU_ENTER_THE_NUMERIC_CODE_WE_SENT";"";"";"Introduce el código numérico que te hemos enviado."
"MENU_IF_YOU_REGISTERED_YOUR_DECENTRALAND_ACCOUNT";"";"";"*Si registraste tu cuenta de Decentraland con una billetera no custodial, no hay datos que eliminar, porque no almacenamos tus datos."
"MENU_INVALID_RESPONSE";"";"";"Respuesta no válida"
"MENU_LINK_AN_EMAIL_TO_RECOVER_THIS";"";"";"Vincula un email para recuperar esta cuenta. La dirección de tu billetera no cambia."
"MENU_NAVBAR_BUTTON_DISCOVER";"";"";"DESCUBRIR"
"MENU_OK";"";"";"ACEPTAR"
"MENU_OOOPS_SOMETHING_WENT_WRONG";"";"";"Vaya... Algo ha
salido mal"
"MENU_PLEASE_ENTER_A_VALID_EMAIL_ADDRESS";"";"";"Introduce una dirección de email válida."
"MENU_PROCESSING";"";"";"Procesando"
"MENU_REQUEST_ACCOUNT_DELETION";"";"";"¿Solicitar la eliminación de la cuenta?"
"MENU_RESEND_CODE";"";"";"REENVIAR CÓDIGO"
"MENU_SEND_CODE";"";"";"ENVIAR CÓDIGO"
"MENU_THIS_PROCESS_CAN_TAKE_UP_TO";"";"";"Este proceso puede tardar hasta 30 días en completarse."
"MENU_UPDATING_PROFILE";"";"";"Actualizando el perfil..."
"MENU_VERIFY";"";"";"VERIFICAR"
"MENU_WE_COULDN_T_PROCESS_YOUR_REQUEST";"";"";"No hemos podido procesar tu solicitud.
Inténtalo más tarde"
"MENU_WE_LL_KEEP_YOU_UPDATED_ON";"";"";"Te mantendremos informado del proceso a través del email con el que registraste la cuenta."
"MENU_WE_SENT_A_CODE_TO_YOUR";"";"";"Hemos enviado un código a tu email"
"MENU_YES_DELETE";"";"";"SÍ, ELIMINAR"
"MENU_YOUR_EMAIL_IS_LINKED_YOU_CAN";"";"";"Tu email está vinculado. Ya puedes recuperar esta cuenta."
"MENU_YOU_EXAMPLE_COM";"";"";"tu@ejemplo.com"
"MODAL_ADD_EMAIL_ERROR_BODY";"";"";"Algo ha salido mal. Inténtalo más tarde."
"MODAL_ADD_EMAIL_ERROR_TITLE";"";"";"Algo ha salido mal"
"MODAL_ADD_EMAIL_PLACEHOLDER";"";"";"nombre@email.com"
"MODAL_ADD_EMAIL_SUBTITLE";"";"";"Mi email"
"MODAL_ADD_EMAIL_TITLE";"";"";"Añadir email"
"MODAL_BAN_KICKED_BODY";"";"";"Ponte en contacto con soporte para más información."
"MODAL_BAN_KICKED_PRIMARY";"";"";"VOLVER A DESCUBRIR"
"MODAL_BAN_KICKED_TITLE";"";"";"Te han baneado"
"MODAL_BAN_PRE_CHECK_BODY";"";"";"Estás baneado de esta scene.
Ponte en contacto con soporte para más información."
"MODAL_BAN_PRE_CHECK_PRIMARY";"";"";"VOLVER A DESCUBRIR"
"MODAL_BAN_PRE_CHECK_TITLE";"";"";"No puedes entrar"
"MODAL_BUG_REPORT_SUCCESS_BODY";"";"";"Gracias por ayudar a mejorar Decentraland. Nuestro equipo revisará tu reporte."
"MODAL_BUG_REPORT_SUCCESS_PRIMARY";"";"";"CERRAR"
"MODAL_BUG_REPORT_SUCCESS_TITLE";"";"";"¡Reporte enviado!"
"MODAL_BY";"";"";"por"
"MODAL_CODE_INVALID_OR_EXPIRED";"";"";"El código no es válido o ha caducado. Vuelve a enviarlo."
"MODAL_CONNECTION_LOST_BODY";"";"";"Comprueba tu conexión a internet e inténtalo de nuevo."
"MODAL_CONNECTION_LOST_PRIMARY";"";"";"REINTENTAR"
"MODAL_CONNECTION_LOST_SECONDARY";"";"";"SALIR"
"MODAL_CONNECTION_LOST_TITLE";"";"";"Conexión perdida"
"MODAL_CREDIT_LIMIT_DAILY_BODY";"";"";"Has alcanzado la cantidad máxima de créditos que puedes comprar hoy."
"MODAL_CREDIT_LIMIT_PRIMARY";"";"";"ACEPTAR"
"MODAL_CREDIT_LIMIT_TITLE";"";"";"Límite alcanzado"
"MODAL_CREDIT_LIMIT_TOTAL_BODY";"";"";"No puedes comprar más créditos porque has alcanzado el límite máximo acumulado. Gasta tus créditos para poder comprar más."
"MODAL_EMAIL_INVALID";"";"";"Email no válido"
"MODAL_EMAIL_IN_USE_BODY";"";"";"Este email ya está vinculado a otra cuenta.
Prueba con otro email."
"MODAL_EMAIL_IN_USE_TITLE";"";"";"Email ya en uso"
"MODAL_EXTERNAL_LINK_BODY";"";"";"Estás a punto de visitar un sitio web externo. Asegúrate de que confías en él antes de continuar."
"MODAL_EXTERNAL_LINK_PRIMARY";"";"";"ABRIR ENLACE"
"MODAL_EXTERNAL_LINK_SECONDARY";"";"";"CANCELAR"
"MODAL_EXTERNAL_LINK_TITLE";"";"";"¿Abrir enlace externo?"
"MODAL_IAP_TERMS_CHECKBOX";"";"";"He leído y acepto los [color=#E8B9FF][url=""https://decentraland.org/terms""]Términos de Uso[/url][/color], la [color=#E8B9FF][url=""https://decentraland.org/privacy""]Política de Privacidad[/url][/color], la [color=#E8B9FF][url=""https://decentraland.org/content""]Política de Contenido[/url][/color] y los [color=#E8B9FF][url=""https://decentraland.org/credits-terms""]Términos de Uso de los Créditos[/url][/color] de Decentraland."
"MODAL_IAP_TERMS_PRIMARY";"";"";"CONFIRMAR"
"MODAL_IAP_TERMS_SECONDARY";"";"";"CANCELAR"
"MODAL_IAP_TERMS_TITLE";"";"";"Términos de Uso"
"MODAL_LOADING_IS_TAKING_LONGER_THAN_EXPECTED";"";"";"La carga está tardando más de lo previsto"
"MODAL_LOW_MEMORY_BODY";"";"";"Puede que este lugar no funcione con fluidez en tu dispositivo y que se cierre de forma inesperada."
"MODAL_LOW_MEMORY_PRIMARY";"";"";"CONTINUAR"
"MODAL_LOW_MEMORY_SECONDARY";"";"";"VOLVER A DESCUBRIR"
"MODAL_LOW_MEMORY_TITLE";"";"";"Memoria insuficiente"
"MODAL_LOW_SPEC_IPHONE_BODY";"";"";"Tu dispositivo está por debajo de las características recomendadas (iPhone 13/SE 2023). Puede que notes ralentizaciones, cierres inesperados o calentamiento mientras juegas."
"MODAL_LOW_SPEC_IPHONE_PRIMARY";"";"";"ACEPTAR"
"MODAL_LOW_SPEC_IPHONE_TITLE";"";"";"Rendimiento limitado"
"MODAL_PRIVATE_WORLD_BODY";"";"";"Solo pueden entrar las personas invitadas."
"MODAL_PRIVATE_WORLD_PRIMARY";"";"";"ACEPTAR"
"MODAL_PRIVATE_WORLD_TITLE";"";"";"{world} es privado"
"MODAL_PURCHASE_FAILED_BODY";"";"";"No se ha podido completar tu compra"
"MODAL_PURCHASE_FAILED_PRIMARY";"";"";"ACEPTAR"
"MODAL_PURCHASE_FAILED_TITLE";"";"";"Algo ha
salido mal"
"MODAL_PURCHASE_IN_FLIGHT_BODY";"";"";"Ya se está procesando una compra. Espera a que termine antes de iniciar otra."
"MODAL_PURCHASE_IN_FLIGHT_PRIMARY";"";"";"ACEPTAR"
"MODAL_PURCHASE_IN_FLIGHT_TITLE";"";"";"Compra en curso"
"MODAL_PURCHASE_PROCESSING_BODY";"";"";"Tu compra se ha realizado y tus créditos se añadirán en breve."
"MODAL_PURCHASE_PROCESSING_PRIMARY";"";"";"ACEPTAR"
"MODAL_PURCHASE_PROCESSING_TITLE";"";"";"Ya casi está"
"MODAL_PURCHASE_UNAVAILABLE_BODY";"";"";"La compra de créditos no está disponible temporalmente. Inténtalo más tarde."
"MODAL_PURCHASE_UNAVAILABLE_PRIMARY";"";"";"ACEPTAR"
"MODAL_PURCHASE_UNAVAILABLE_TITLE";"";"";"No disponible
temporalmente"
"MODAL_SCENE_CRASH_BODY";"";"";"Esta scene ha dejado de funcionar. Recárgala o vuelve a Descubrir."
